ACCESS_label,HHLANP_label,HINCP,FS,NP
"Yes, by paying a cell phone company or Internet service provider",English only household,0,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,0,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,0,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,103000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,103000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,103000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,103000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,16900,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,16900,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,16900,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,96000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,96000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,96000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,35030,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,35030,2,2
"Yes, by paying a cell phone company or Internet service provider",French,67100,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,103800,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,103800,2,2
"No access to the Internet at this house, apartment, or mobile home",Greek,9100,1,1
"No access to the Internet at this house, apartment, or mobile home",French,23300,2,1
"No access to the Internet at this house, apartment, or mobile home",English only household,25000,2,3
"No access to the Internet at this house, apartment, or mobile home",English only household,25000,2,3
"No access to the Internet at this house, apartment, or mobile home",English only household,25000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,96300,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,96300,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,96300,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,96300,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,96300,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,109000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,109000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,109000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,63500,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,63500,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,57800,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,57800,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,32700,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,32700,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,110200,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,11800,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,124000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,124000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,124000,2,3
"No access to the Internet at this house, apartment, or mobile home",English only household,9500,1,1
"Yes, by paying a cell phone company or Internet service provider",English only household,105400,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,105400,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,105400,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,105400,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,105400,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,28600,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,28600,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,21000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,73000,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,73000,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,73000,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,73000,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,73000,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,73000,2,6
"No access to the Internet at this house, apartment, or mobile home",English only household,19000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,30000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,25000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,44400,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,104000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,104000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,104000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,379000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,379000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,379000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,379000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,97000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,97000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,97000,2,3
"No access to the Internet at this house, apartment, or mobile home",English only household,50000,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,50000,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,12420,1,2
"No access to the Internet at this house, apartment, or mobile home",English only household,12420,1,2
"No access to the Internet at this house, apartment, or mobile home",English only household,4800,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,50000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,50000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,50000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,50000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,30000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,30000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,30000,2,3
"Yes, by paying a cell phone company or Internet service provider",German,722000,2,5
"Yes, by paying a cell phone company or Internet service provider",German,722000,2,5
"Yes, by paying a cell phone company or Internet service provider",German,722000,2,5
"Yes, by paying a cell phone company or Internet service provider",German,722000,2,5
"Yes, by paying a cell phone company or Internet service provider",German,722000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,85800,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,85800,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,80100,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,80100,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,186000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,186000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,186000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,186000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,141800,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,141800,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,75800,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,75800,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,75800,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,75800,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,75800,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,75800,2,6
"Yes, by paying a cell phone company or Internet service provider",English only household,13200,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,32900,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,59000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,38900,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,38900,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,38900,2,3
"No access to the Internet at this house, apartment, or mobile home",English only household,21700,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,95000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,95000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,18400,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,18400,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,18400,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,18400,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,3600,1,1
"Yes, by paying a cell phone company or Internet service provider",English only household,58100,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,58100,2,2
"Yes, by paying a cell phone company or Internet service provider",Urdu,356000,2,3
"Yes, by paying a cell phone company or Internet service provider",Urdu,356000,2,3
"Yes, by paying a cell phone company or Internet service provider",Urdu,356000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,37000,2,1
"Yes, without paying a cell phone company or Internet service provider",English only household,4580,2,2
"Yes, without paying a cell phone company or Internet service provider",English only household,4580,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,66000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,66000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,4700,2,1
"No access to the Internet at this house, apartment, or mobile home",English only household,12200,1,1
"No access to the Internet at this house, apartment, or mobile home",English only household,38880,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,38880,2,2
"Yes, by paying a cell phone company or Internet service provider",Cantonese,98000,2,2
"Yes, by paying a cell phone company or Internet service provider",Cantonese,98000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,76000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,76000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,76000,2,3
"Yes, by paying a cell phone company or Internet service provider",French,99570,2,5
"Yes, by paying a cell phone company or Internet service provider",French,99570,2,5
"Yes, by paying a cell phone company or Internet service provider",French,99570,2,5
"Yes, by paying a cell phone company or Internet service provider",French,99570,2,5
"Yes, by paying a cell phone company or Internet service provider",French,99570,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,30900,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,30900,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,11300,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,34000,1,2
"Yes, by paying a cell phone company or Internet service provider",English only household,34000,1,2
"No access to the Internet at this house, apartment, or mobile home",English only household,8900,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,20000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,20000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,20000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,20000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,119300,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,119300,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,17000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,17000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,104000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,104000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,104000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,334800,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,334800,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,38070,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,38070,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,100000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,100000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,59500,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,59500,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,23100,1,2
"No access to the Internet at this house, apartment, or mobile home",English only household,23100,1,2
"Yes, by paying a cell phone company or Internet service provider",English only household,14000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,85600,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,85600,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,6400,1,1
"Yes, by paying a cell phone company or Internet service provider",English only household,46600,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,46600,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,46600,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,25000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,157000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,157000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,61200,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,61200,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,61200,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,36000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,36000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,36000,2,3
"No access to the Internet at this house, apartment, or mobile home",English only household,24900,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,24900,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,145000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,145000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,40600,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,40600,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,40600,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,40600,2,4
"Yes, by paying a cell phone company or Internet service provider",French,12900,1,1
"Yes, by paying a cell phone company or Internet service provider",English only household,33000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,516000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,516000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,67400,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,67400,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,9000,1,1
"No access to the Internet at this house, apartment, or mobile home",English only household,31600,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,31600,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,10000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,10000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,10000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,10000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,10000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,34000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,34000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,62200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,62200,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,111000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,111000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,111000,2,3
"Yes, by paying a cell phone company or Internet service provider",Russian,83000,2,2
"Yes, by paying a cell phone company or Internet service provider",Russian,83000,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,10200,1,1
"Yes, by paying a cell phone company or Internet service provider",English only household,92100,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,92100,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,92100,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,92100,2,4
"Yes, by paying a cell phone company or Internet service provider",French,128000,2,3
"Yes, by paying a cell phone company or Internet service provider",French,128000,2,3
"Yes, by paying a cell phone company or Internet service provider",French,128000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,135000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,135000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,135000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,135000,2,4
"No access to the Internet at this house, apartment, or mobile home",English only household,21000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,79300,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,58500,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,58500,2,2
"Yes, by paying a cell phone company or Internet service provider",French,61900,2,2
"Yes, by paying a cell phone company or Internet service provider",French,61900,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,77800,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,132700,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,132700,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,132700,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,132700,2,4
"No access to the Internet at this house, apartment, or mobile home",English only household,24000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,125110,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,125110,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,125110,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,125110,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,44000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,44000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,44000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,44000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,51300,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,51300,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,22490,1,2
"Yes, by paying a cell phone company or Internet service provider",English only household,22490,1,2
"Yes, by paying a cell phone company or Internet service provider",English only household,74000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,74000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,74000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,74000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,74000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,52230,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,64000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,64000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,50000,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,77200,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,77200,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,77200,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,28360,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,45000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,45000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,45000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,30000,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,30000,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,30000,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,30000,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,128740,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,128740,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,128740,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,128740,2,4
"No access to the Internet at this house, apartment, or mobile home",English only household,13200,1,1
"Yes, by paying a cell phone company or Internet service provider",Spanish,25400,2,2
"Yes, by paying a cell phone company or Internet service provider",Spanish,25400,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,11800,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,100000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,100000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,100000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,90000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,90000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,90000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,90000,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,5600,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,193000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,193000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,193000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,193000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,193000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,67950,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,67950,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,58700,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,58700,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,58700,1,3
"Yes, by paying a cell phone company or Internet service provider",English only household,99500,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,99500,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,99500,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,34100,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,34100,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,12900,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,111000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,111000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,111000,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,75000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,75000,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,830,1,1
"Yes, by paying a cell phone company or Internet service provider",English only household,12600,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,12600,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,34000,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,34000,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,34000,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,34000,1,4
"Yes, by paying a cell phone company or Internet service provider",English only household,50630,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,50630,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,61000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,61000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,45000,1,2
"Yes, by paying a cell phone company or Internet service provider",English only household,45000,1,2
"Yes, by paying a cell phone company or Internet service provider",English only household,120300,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,120300,2,2
"No access to the Internet at this house, apartment, or mobile home",English only household,20800,2,1
"Yes, by paying a cell phone company or Internet service provider",English only household,210160,2,7
"Yes, by paying a cell phone company or Internet service provider",English only household,210160,2,7
"Yes, by paying a cell phone company or Internet service provider",English only household,210160,2,7
"Yes, by paying a cell phone company or Internet service provider",English only household,210160,2,7
"Yes, by paying a cell phone company or Internet service provider",English only household,210160,2,7
"Yes, by paying a cell phone company or Internet service provider",English only household,210160,2,7
"Yes, by paying a cell phone company or Internet service provider",English only household,210160,2,7
"Yes, by paying a cell phone company or Internet service provider",English only household,44000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,44000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,49000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,49000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,48000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,48000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,70300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,70300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,70300,2,4
"Yes, by paying a cell phone company or Internet service provider",English only household,70300,2,4
"No access to the Internet at this house, apartment, or mobile home",English only household,21020,2,1
"No access to the Internet at this house, apartment, or mobile home",English only household,16200,1,1
"Yes, by paying a cell phone company or Internet service provider",English only household,245000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,245000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,245000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,245000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,245000,2,5
"Yes, by paying a cell phone company or Internet service provider",English only household,76180,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,76180,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,60000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,60000,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,108200,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,108200,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,108200,2,3
"Yes, by paying a cell phone company or Internet service provider",English only household,66300,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,66300,2,2
"Yes, by paying a cell phone company or Internet service provider",English only household,16700,1,2
"Yes, by paying a cell phone company or Internet service provider",English only household,16700,1,2
